證券代號,投標開始日,外資平均增減,投信平均增減,自營商平均增減,融資張數增減,融券張數增減,融資金額增減,道瓊工業_10日漲幅(%),標普500_10日漲幅(%),那斯達克_10日漲幅(%),費城半導體_10日漲幅(%),大盤_10日漲幅(%),大盤_平均成交量,櫃買_10日漲幅(%),櫃買_平均成交量
6026,2016-01-07,-899546606.1666666,-186308838.25,-166101976.41666666,-4103.167,-1123.0,-28022000.0,0.119,0.355,-0.406,0.392,-3.912,1525180.0,-4.155,308260.0
6510,2016-03-04,5391354043.2,-8758437.6,-551976710.2,-5758.4,-850.2,4465200.0,4.129,4.366,5.718,8.104,3.573,1995680.0,0.241,376760.0
2739,2016-04-28,4244202251.818182,-182445499.45454547,-367733378.3636364,-17149.545,3744.818,-257298545.455,2.277,1.963,0.93,-0.892,-1.207,1477040.0,-1.768,347330.0
6531,2016-05-11,-5433881234.090909,-131395874.0909091,243123575.0909091,-17503.727,2873.636,-393020090.909,-1.461,-1.647,-3.466,-4.713,-4.956,1533020.0,-4.49,290700.0
6523,2016-05-26,-4176549878.3333335,222251615.66666663,601008904.9166666,-12665.583,2259.333,-410514333.333,-1.396,-0.442,0.625,5.013,3.554,1535790.0,6.16,282600.0
6446,2016-06-29,476803584.7272728,-169409461.0909091,-595591291.0909091,875.182,-4731.455,10503818.182,-1.871,-2.003,-2.897,-2.879,-1.172,1620120.0,-0.409,309720.0
4552,2016-06-30,577167868.25,-151170734.08333334,-510976834.9166667,2627.75,-4926.167,52943416.667,-3.34,-3.777,-5.239,-6.773,1.088,1652280.0,0.544,312790.0
6499,2016-07-06,3905944168.2,204304320.6,-374745303.8,-6687.1,-4695.4,-22932200.0,1.442,1.334,0.882,0.374,-0.002,1733090.0,-0.077,329890.0
8415,2016-08-18,4387663991.615385,-227838297.2307692,-1002418099.9230767,2488.462,5229.154,155109230.769,1.106,0.761,1.935,3.086,1.03,1883780.0,-1.692,417750.0
6542,2016-08-19,4770939592.307693,-219667045.4615385,-1193921958.7692308,2962.846,6028.692,148567153.846,0.801,0.337,0.828,2.16,0.334,1897730.0,-1.487,405230.0
8473,2016-08-19,4770939592.307693,-219667045.4615385,-1193921958.7692308,2962.846,6028.692,148567153.846,0.801,0.337,0.828,2.16,0.334,1897730.0,-1.487,405230.0
6548,2016-08-25,3443100052.769231,-373074781.6923077,-656271871.5384616,5334.462,4723.154,113133076.923,-0.076,-0.011,0.45,3.038,-1.253,1784850.0,-0.315,358820.0
1598,2016-08-30,1863677496.1818185,-319396381.90909094,-84912749.72727273,18353.909,5871.364,240796818.182,-0.689,-0.53,-0.395,2.261,-0.002,1702220.0,-0.513,347280.0
6535,2016-09-05,27604461.454545453,-286256962.54545456,365951269.9090909,17139.909,-268.727,243366545.455,-0.959,-0.739,-0.247,2.303,0.064,1744960.0,-0.535,374040.0
8279,2016-09-05,27604461.454545453,-286256962.54545456,365951269.9090909,17139.909,-268.727,243366545.455,-0.959,-0.739,-0.247,2.303,0.064,1744960.0,-0.535,374040.0
4438,2016-09-27,-1690161433.6,-60958010.5,-773262568.3,-2480.3,-2302.3,-101978100.0,0.368,0.84,2.449,3.771,0.323,1584080.0,-0.463,320660.0
2633,2016-10-06,3560754769.7,-13606078.5,-750857455.4,6456.2,2887.3,58321400.0,0.738,1.032,1.258,3.291,1.208,1491360.0,1.0,329480.0
8466,2016-10-12,1652512192.4285717,-167247093.2857143,-105327006.0,-168.857,757.714,77201142.857,-0.115,-0.506,-0.252,4.031,-0.698,1535190.0,-2.808,350050.0
4943,2016-10-24,642576746.75,42550186.625,70528525.875,-14270.75,2549.0,-468117125.0,-0.581,-0.899,-1.225,-2.609,0.44,1553120.0,-2.636,310530.0
6554,2016-11-22,-8267380010.636364,142409930.36363637,354443154.45454544,-7553.182,1391.909,-132035272.727,5.677,4.889,5.699,7.966,-1.913,1976610.0,-0.452,295440.0
8488,2016-11-23,-7760200879.5,170483382.25,528335631.9166667,-8989.75,2170.75,-126564333.333,5.476,4.638,5.452,8.687,2.127,2056500.0,4.03,299440.0
3346,2016-11-29,-6268137738.545455,167435332.54545453,808023846.6363636,17042.727,5381.818,230797727.273,1.25,1.861,2.741,6.219,3.261,1893960.0,2.5,247790.0
6569,2016-12-01,-4960587050.461538,181544144.84615383,760677847.3846154,19154.538,6086.615,239930230.769,1.328,1.722,2.515,5.973,2.729,1956680.0,2.571,251700.0
6568,2016-12-08,-634019887.9230769,196661951.92307693,521142025.0769231,23903.231,3172.692,258008461.538,1.846,1.045,-0.237,-1.662,1.221,1880800.0,1.065,256290.0
5258,2016-12-12,745952261.8181819,143883654.0909091,-6773746.909090909,30675.727,3436.636,338564090.909,2.416,1.484,0.342,0.531,1.848,1892700.0,1.354,294660.0
2939,2017-12-21,-3577695837.0,-96639096.6153846,-945463829.5384616,1577.462,-3674.846,-141399615.385,2.067,1.922,3.238,4.077,1.436,2349260.0,3.428,504930.0
6616,2017-12-20,-3432240659.9166665,-169011790.25,-1093463120.3333333,1271.5,-4095.583,-141034583.333,1.489,1.378,2.379,1.876,0.706,2435940.0,1.569,524000.0
6596,2017-12-14,-6063384745.230769,-574629523.3846154,-1086425633.2307692,9089.0,-4880.231,102133307.692,3.415,2.251,-0.05,-5.934,-0.85,2997540.0,-2.522,586910.0
4764,2017-12-14,-6063384745.230769,-574629523.3846154,-1086425633.2307692,9089.0,-4880.231,102133307.692,3.415,2.251,-0.05,-5.934,-0.85,2997540.0,-2.522,586910.0
6613,2017-12-08,-3500806925.0,-543290817.1538461,-491857042.4615384,20561.462,-886.385,439648769.231,3.202,1.837,-0.42,-7.129,-4.591,3194130.0,-5.406,613420.0
6570,2017-11-21,-1808100849.090909,-78341634.72727273,64998279.45454545,1842.909,5686.909,19007272.727,-0.343,-0.085,0.426,1.011,-1.622,2547960.0,0.948,670080.0
8478,2017-11-21,-1808100849.090909,-78341634.72727273,64998279.45454545,1842.909,5686.909,19007272.727,-0.343,-0.085,0.426,1.011,-1.622,2547960.0,0.948,670080.0
4155,2017-11-15,-829643209.0833334,-82591665.83333333,82484099.41666667,4243.417,4117.583,67499000.0,-0.051,0.048,0.741,3.127,-1.103,2539330.0,-0.041,676300.0
8499,2017-11-06,143339262.44444445,36583786.333333336,715224674.3333334,3715.0,1203.889,190696888.889,1.525,0.693,1.663,4.268,0.611,2364500.0,0.668,629990.0
8342,2017-11-03,1121651209.6,59175789.8,1075544398.6,-988.7,1920.4,105918100.0,1.831,0.689,1.565,4.132,0.556,2374540.0,1.167,632120.0
6593,2017-10-16,1819702454.7777777,77930128.1111111,422398440.0,7524.444,918.889,288564333.333,2.054,1.628,2.139,4.253,3.848,2098230.0,3.509,527140.0
6556,2017-10-11,-2537534323.7,16882928.8,-11920240.7,-15987.4,364.4,-116079300.0,1.897,1.883,2.54,3.641,0.796,2085240.0,0.584,539260.0
2243,2017-09-07,640942136.7692307,-131609035.92307691,125490820.53846154,27562.0,10437.462,778940923.077,1.444,2.103,3.52,4.427,0.562,2798150.0,2.899,676930.0
1268,2017-09-07,640942136.7692307,-131609035.92307691,125490820.53846154,27562.0,10437.462,778940923.077,1.444,2.103,3.52,4.427,0.562,2798150.0,2.899,676930.0
