開標日期,證券名稱,證券代號,發行市場,發行性質,競拍方式,投標開始日,投標結束日,競拍數量(張),最低投標價格(元),最低每標單投標數量(張),最高投(得)標數量(張),保證金成數(%),每一投標單投標處理費(元),撥券日期(上市、上櫃日期),主辦券商,得標總金額(元),得標手續費率(%),總合格件,合格投標數量(張),最低得標價格(元),最高得標價格(元),得標加權平均價格(元),承銷價格(元),取消競價拍賣(流標或取消),update_time
2016-01-13,福邦證,6026,初上櫃,初上櫃,美國標,2016-01-07,2016-01-11,8000000,7.38,5,1000,60,500,2016-01-27,中國信託,76012650,2.5,426.0,29313.0,9.5,10.0,9.5,9.5,,2026-01-27 14:28:54.388386+08:00
2016-03-10,精測,6510,初上櫃,初上櫃,美國標,2016-03-04,2016-03-08,1896000,300.0,3,236,50,500,2016-03-24,中國信託,854748380,2.5,2667.0,17457.0,440.2,482.0,450.82,360.0,,2026-01-27 14:28:54.388386+08:00
2016-05-05,寒舍,2739,初上市,初上市,美國標,2016-04-28,2016-05-03,7723000,38.8,3,965,50,500,2016-05-19,富邦證券,414385780,3.5,1598.0,33686.0,52.0,62.0,53.66,50.44,,2026-01-27 14:28:54.388386+08:00
2016-05-17,愛普,6531,初上市,初上市,美國標,2016-05-11,2016-05-13,4885000,71.0,2,610,50,500,2016-05-31,永豐金證券,460032270,5.0,1154.0,15591.0,92.0,102.0,94.17,92.3,,2026-01-27 14:28:54.388386+08:00
2016-06-01,達爾膚,6523,初上櫃,初上櫃,美國標,2016-05-26,2016-05-30,2538000,150.4,2,317,50,500,2016-06-16,元大證券,686694130,5.0,1769.0,12239.0,257.21,303.62,270.57,188.0,,2026-01-27 14:28:54.388386+08:00
2016-07-05,藥華藥,6446,初上櫃,初上櫃,美國標,2016-06-29,2016-07-01,14400000,132.5,2,1800,50,500,2016-07-19,凱基,2502986750,4.5,2293.0,35123.0,165.0,200.0,173.82,159.0,,2026-01-27 14:28:54.388386+08:00
2016-07-06,力達-KY,4552,第一上市初上市,初上市,美國標,2016-06-30,2016-07-04,7999000,80.0,2,1000,50,500,2016-07-20,凱基,925187300,4.0,1254.0,18527.0,101.1,185.0,115.66,96.0,,2026-01-27 14:28:54.388386+08:00
2016-07-13,益安,6499,初上櫃,初上櫃,美國標,2016-07-06,2016-07-11,4080000,120.0,2,510,50,500,2016-07-27,元富證券,669504320,5.0,1166.0,8476.0,157.1,182.1,164.09,132.0,,2026-01-27 14:28:54.388386+08:00
2016-08-24,大國鋼,8415,初上櫃,初上櫃,美國標,2016-08-18,2016-08-22,8000000,12.0,2,1000,50,500,2016-09-07,統一證,136024850,3.0,791.0,32296.0,17.0,17.5,17.0,15.0,,2026-01-27 14:28:54.388386+08:00
2016-08-25,隆中,6542,初上櫃,初上櫃,美國標,2016-08-19,2016-08-23,2817000,96.36,2,352,50,500,2016-09-08,元大證券,323704440,5.0,847.0,7082.0,111.0,125.3,114.91,106.0,,2026-01-27 14:28:54.388386+08:00
2016-08-25,山林水,8473,初上市,初上市,美國標,2016-08-19,2016-08-23,9378000,41.69,2,1172,50,500,2016-09-08,兆豐證券,514252800,2.5,1777.0,41221.0,53.5,60.0,54.84,54.2,,2026-01-27 14:28:54.388386+08:00
2016-08-31,長華科,6548,初上櫃,初上櫃,美國標,2016-08-25,2016-08-29,1700000,87.93,2,212,50,500,2016-09-13,凱基,211965920,5.0,1167.0,10298.0,120.1,135.0,124.69,102.0,,2026-01-27 14:28:54.388386+08:00
2016-09-05,岱宇,1598,初上市,初上市,美國標,2016-08-30,2016-09-01,7437000,37.2,2,929,50,500,2016-09-20,國泰綜合證券,364462230,4.0,1085.0,14793.0,47.12,55.8,49.01,46.5,,2026-01-27 14:28:54.388386+08:00
2016-09-09,順藥,6535,初上櫃,初上櫃,美國標,2016-09-05,2016-09-07,6800000,45.0,3,680,50,500,2016-09-26,元富證券,383607080,5.0,941.0,10655.0,53.78,67.6,56.41,54.0,,2026-01-27 14:28:54.388386+08:00
2016-09-09,生展,8279,初上櫃,初上櫃,美國標,2016-09-05,2016-09-07,1681000,50.69,2,210,50,500,2016-09-26,群益金鼎證券,111950060,3.5,1199.0,13269.0,65.3,71.22,66.6,58.8,,2026-01-27 14:28:54.388386+08:00
2016-10-03,廣越,4438,初上市,初上市,美國標,2016-09-27,2016-09-29,8302000,139.29,2,1037,50,500,2016-10-18,凱基,1456834850,5.0,2176.0,19956.0,169.0,204.0,175.48,156.0,,2026-01-27 14:28:54.388386+08:00
2016-10-13,台灣高鐵,2633,初上市,初上市,美國標,2016-10-06,2016-10-11,16000000,11.64,2,2000,50,500,2016-10-27,富邦證券,284890890,5.0,3098.0,171292.0,17.21,20.0,17.81,15.13,,2026-01-27 14:28:54.388386+08:00
2016-10-18,美吉吉-KY,8466,第一上市初上市,初上市,美國標,2016-10-12,2016-10-14,5284000,69.0,2,660,50,500,2016-11-01,凱基,575400880,4.0,2622.0,42687.0,104.9,193.5,108.89,82.8,,2026-01-27 14:28:54.388386+08:00
2016-10-28,康控-KY,4943,第一上市初上市,初上市,美國標,2016-10-24,2016-10-26,7370000,49.0,2,921,50,500,2016-11-11,中國信託證券,446617850,5.0,823.0,16682.0,59.1,75.23,60.6,58.8,,2026-01-27 14:28:54.388386+08:00
2016-11-28,冠科-KY　,6554,第一上櫃初上櫃,初上櫃,美國標,2016-11-22,2016-11-24,9447000,45.67,2,1180,50,500,2016-12-12,元大證券,526970680,5.0,743.0,13925.0,53.1,68.0,55.78,55.78,,2026-01-27 14:28:54.388386+08:00
2016-11-29,吉源-KY,8488,第一上市初上市,初上市,美國標,2016-11-23,2016-11-25,5399000,37.5,2,675,50,500,2016-12-13,凱基,245282970,4.0,721.0,14667.0,43.11,88.0,45.43,42.0,,2026-01-27 14:28:54.388386+08:00
2016-12-05,麗清,3346,初上市,初上市,美國標,2016-11-29,2016-12-01,5508000,24.0,2,688,50,500,2016-12-19,元大證券,195336480,5.0,1032.0,27085.0,33.76,38.2,35.46,30.0,,2026-01-27 14:28:54.388386+08:00
2016-12-07,醫揚,6569,初上櫃,初上櫃,美國標,2016-12-01,2016-12-05,1639000,152.89,2,204,50,500,2016-12-21,台新綜合證券,350256130,4.0,1052.0,6534.0,207.11,230.1,213.7,185.0,,2026-01-27 14:28:54.388386+08:00
2016-12-14,宏觀,6568,初上櫃,初上櫃,美國標,2016-12-08,2016-12-12,1521000,108.8,2,190,50,500,2016-12-28,兆豐證券,213690830,2.5,886.0,8273.0,138.21,148.0,140.49,136.0,,2026-01-27 14:28:54.388386+08:00
2016-12-16,虹堡,5258,初上市,初上市,美國標,2016-12-12,2016-12-14,5929000,35.0,2,741,50,500,2016-12-30,台新綜合證券,233883480,4.0,311.0,10065.0,37.3,44.0,39.45,39.45,,2026-01-27 14:28:54.388386+08:00
2017-12-27,凱羿-KY,2939,集中交易市場,第一上市初上市,美國標,2017-12-21,2017-12-25,2898,130.0,2,402,50,400,2018-01-11,永豐金證券,543483800,4.25,1195.0,9571.0,181.7,200.0,187.54,156.0,,2026-01-27 14:28:55.467018+08:00
2017-12-26,特昇-KY,6616,櫃檯買賣,第一上櫃初上櫃,美國標,2017-12-20,2017-12-22,1889,15.0,2,259,50,400,2018-01-10,永豐金證券,39795550,4.5,520.0,10339.0,20.0,26.8,21.07,18.0,,2026-01-27 14:28:55.467018+08:00
2017-12-20,寬宏,6596,櫃檯買賣,初上櫃,美國標,2017-12-14,2017-12-18,1512,55.5,1,217,50,400,2018-01-04,福邦證券,95009990,4.5,357.0,2404.0,59.7,70.1,62.84,62.84,,2026-01-27 14:28:55.467018+08:00
2017-12-20,雙鍵,4764,集中交易市場,初上市,美國標,2017-12-14,2017-12-18,4385,43.24,2,602,50,400,2018-01-04,永豐金證券,244875340,4.5,1057.0,20466.0,55.0,63.5,55.84,48.0,,2026-01-27 14:28:55.467018+08:00
2017-12-14,朋億,6613,櫃檯買賣,初上櫃,美國標,2017-12-08,2017-12-12,2924,120.54,1,420,50,400,2017-12-28,凱基證券股份,472506730,4.5,1528.0,10908.0,156.0,180.0,161.6,135.0,,2026-01-27 14:28:55.467018+08:00
2017-11-27,維田,6570,櫃檯買賣,初上櫃,美國標,2017-11-21,2017-11-23,1671,22.5,2,230,50,400,2017-12-11,中國信託綜合,51600950,4.5,749.0,10577.0,29.8,81.8,30.88,25.2,,2026-01-27 14:28:55.467018+08:00
2017-11-27,東哥遊艇,8478,集中交易市場,初上市,美國標,2017-11-21,2017-11-23,7596,66.18,2,1089,50,400,2017-12-11,凱基證券股份,609187900,4.5,951.0,12095.0,75.5,110.0,80.2,72.8,,2026-01-27 14:28:55.467018+08:00
2017-11-21,訊映,4155,集中交易市場,初上市,美國標,2017-11-15,2017-11-17,5927,20.0,1,750,50,400,2017-12-05,富邦綜合證券,168664990,4.5,1263.0,36834.0,27.6,31.5,28.46,22.0,,2026-01-27 14:28:55.467018+08:00
2017-11-10,鼎炫-KY,8499,集中交易市場,第一上市初上市,美國標,2017-11-06,2017-11-08,4139,80.0,2,595,50,400,2017-11-24,凱基證券股份,451000270,4.5,1241.0,15629.0,104.0,141.0,108.96,96.0,,2026-01-27 14:28:55.467018+08:00
2017-11-09,益張,8342,櫃檯買賣,初上櫃,美國標,2017-11-03,2017-11-07,2040,36.61,2,265,50,400,2017-11-23,台新綜合證券,94147800,4.5,865.0,11546.0,45.0,53.0,46.15,41.0,,2026-01-27 14:28:55.467018+08:00
2017-10-20,台灣銘板,6593,櫃檯買賣,初上櫃,美國標,2017-10-16,2017-10-18,1205,27.03,2,160,50,400,2017-11-03,台新綜合證券,43064120,4.0,628.0,11187.0,33.8,38.1,35.74,30.0,,2026-01-27 14:28:55.467018+08:00
2017-10-17,勝品,6556,櫃檯買賣,初上櫃,美國標,2017-10-11,2017-10-13,1440,27.0,1,190,50,400,2017-10-31,凱基,54226100,4.5,735.0,12553.0,35.66,45.0,37.66,29.7,,2026-01-27 14:28:55.467018+08:00
2017-09-13,宏旭-KY,2243,集中交易市場,第一上市初上市,美國標,2017-09-07,2017-09-11,3327,30.0,1,416,50,400,2017-09-27,富邦綜合證券,117189940,4.5,580.0,12150.0,33.2,50.0,35.22,33.0,,2026-01-27 14:28:55.467018+08:00
2017-09-13,漢來美食,1268,櫃檯買賣,初上櫃,美國標,2017-09-07,2017-09-11,2340,125.0,1,292,50,400,2017-09-27,凱基,385598290,4.5,1000.0,9163.0,160.1,200.0,164.79,150.0,,2026-01-27 14:28:55.467018+08:00
2017-09-13,廣錠,6441,櫃檯買賣,初上櫃,美國標,2017-09-07,2017-09-11,2336,42.02,2,291,50,400,2017-09-27,富邦綜合證券,139853630,4.5,899.0,12181.0,57.2,152.88,59.87,50.0,,2026-01-27 14:28:55.467018+08:00
2017-09-12,虹揚-KY,6573,集中交易市場,第一上市初上市,美國標,2017-09-06,2017-09-08,5099,30.0,2,637,50,400,2017-09-26,康和綜合證券,182798620,4.0,640.0,15988.0,33.68,51.5,35.85,33.6,,2026-01-27 14:28:55.467018+08:00
2017-09-12,泓瀚科技,4741,櫃檯買賣,初上櫃,美國標,2017-09-06,2017-09-08,2628,48.0,2,328,50,400,2017-09-26,國泰綜合證券,171926220,4.0,775.0,9612.0,61.4,80.0,65.42,55.2,,2026-01-27 14:28:55.467018+08:00
2017-08-21,霈方,6574,櫃檯買賣,初上櫃,美國標,2017-08-15,2017-08-17,1354,109.4,2,169,50,400,2017-09-04,永豐金證券,176051790,4.5,484.0,3542.0,123.44,145.98,130.02,128.0,,2026-01-27 14:28:55.467018+08:00
2017-08-07,穎漢,4562,集中交易市場,初上市,美國標,2017-08-01,2017-08-03,5404,36.36,2,675,50,400,2017-08-21,台新綜合證券,237593080,4.5,476.0,7011.0,39.2,110.8,43.97,40.0,,2026-01-27 14:28:55.467018+08:00
2017-08-07,研揚,6579,集中交易市場,初上市,美國標,2017-08-01,2017-08-03,7344,74.58,2,918,50,400,2017-08-21,元大,784671580,4.5,1258.0,16701.0,100.0,132.25,106.85,88.0,,2026-01-27 14:28:55.467018+08:00
2017-06-12,日成-KY,4807,集中交易市場,第一上市初上市,美國標,2017-06-06,2017-06-08,3053,60.0,2,381,50,400,2017-06-26,永豐金證券,219014060,5.0,812.0,7876.0,68.8,86.85,71.74,66.0,,2026-01-27 14:28:55.467018+08:00
2017-06-01,申豐,6582,集中交易市場,初上市,美國標,2017-05-24,2017-05-26,7142,60.18,2,892,50,400,2017-06-14,凱基證券股份,534460870,4.0,1165.0,16968.0,71.0,84.85,74.83,68.0,,2026-01-27 14:28:55.467018+08:00
2017-05-24,全宇-KY,4148,集中交易市場,第一上市初上市,美國標,2017-05-18,2017-05-22,5123,50.0,2,640,50,400,2017-06-08,永豐金證券股,307848440,4.5,771.0,11865.0,55.52,100.0,60.09,55.0,,2026-01-27 14:28:55.467018+08:00
2017-05-24,集雅社,2937,櫃檯買賣,初上櫃,美國標,2017-05-18,2017-05-22,1945,21.5,2,243,50,400,2017-06-08,第一金,57706490,3.0,694.0,10950.0,28.5,62.3,29.67,25.16,,2026-01-27 14:28:55.467018+08:00
2017-05-16,亞獅康-KY,6497,櫃檯買賣,第一上櫃初上櫃,美國標,2017-05-10,2017-05-12,10409,64.0,1,1301,50,400,2017-06-01,凱基證券股份,717437550,3.0,638.0,15144.0,64.0,166.0,68.92,68.92,,2026-01-27 14:28:55.467018+08:00
2017-04-20,王道,2897,集中交易市場,初上市,美國標,2017-04-14,2017-04-18,16000,5.98,5,2000,50,500,2017-05-05,元富證券,130436410,3.0,1306.0,123963.0,8.02,9.3,8.15,7.0,,2026-01-27 14:28:55.467018+08:00
2017-04-13,三貝德,8489,櫃檯買賣,初上櫃,美國標,2017-04-07,2017-04-11,1700,70.83,2,212,50,500,2017-04-27,凱基,243731170,4.0,1120.0,8027.0,140.1,206.0,143.37,85.0,,2026-01-27 14:28:55.467018+08:00
2017-04-11,迅得,6438,櫃檯買賣,初上櫃,美國標,2017-04-05,2017-04-07,4488,35.0,2,561,50,500,2017-04-25,台新綜合證券,229715300,4.0,1831.0,28338.0,50.45,57.0,51.18,42.0,,2026-01-27 14:28:55.467018+08:00
2017-04-10,生華科,6492,櫃檯買賣,初上櫃,美國標,2017-03-31,2017-04-06,6120,135.0,2,765,50,500,2017-04-24,永豐金證券,1038479180,4.0,1180.0,13583.0,165.33,202.0,169.69,162.0,,2026-01-27 14:28:55.467018+08:00
2017-04-07,世豐螺絲,2065,櫃檯買賣,初上櫃,美國標,2017-03-30,2017-04-05,2032,28.0,2,253,50,500,2017-04-21,富邦綜合證券,92698060,4.5,1595.0,19137.0,44.01,54.0,45.62,32.2,,2026-01-27 14:28:55.467018+08:00
2017-04-05,保瑞,6472,櫃檯買賣,初上櫃,美國標,2017-03-28,2017-03-30,2118,25.0,2,264,50,500,2017-04-19,台新綜合證券,132084440,4.0,1741.0,18546.0,60.88,154.0,62.36,32.5,,2026-01-27 14:28:55.467018+08:00
2017-03-07,勁豐,6577,櫃檯買賣,初上櫃,美國標,2017-03-01,2017-03-03,4752,46.73,2,594,50,500,2017-03-21,群益金鼎證券,338165830,4.0,1438.0,20763.0,68.8,82.56,71.16,52.8,,2026-01-27 14:28:55.467018+08:00
