證券代號,投標開始日,營收成長率,本期淨利成長率,每股盈餘成長率,ROE,前一期ROE,ROE成長率,ROA,前一期ROA,ROA成長率,每股淨值,前一期每股淨值,每股淨值成長率,負債比,前一期負債比,負債比成長率,營業收入,前一期營業收入,本期淨利,前一期本期淨利,每股盈餘,前一期每股盈餘,歸屬於母公司業主之權益合計,前一期歸屬於母公司業主之權益合計,已發行股份總數,前一期已發行股份總數,負債總計,前一期負債總計,資產總計,前一期資產總計
6026,2016-01-07,-1.795,-3.661,-3.448,-0.068,0.024,-3.833,-0.033,0.01,-4.3,10.401,11.142,-0.067,0.521,0.582,-0.105,-103363.0,130013.0,-163310.0,61366.0,-0.71,0.29,2392301.0,2562581.0,230000000.0,230000000.0,2596953.0,3573110.0,4989254.0,6135691.0
6510,2016-03-04,0.62,1.105,0.769,0.368,0.255,0.443,0.232,0.157,0.478,40.093,27.515,0.457,0.37,0.385,-0.039,1725149.0,1064966.0,413483.0,196419.0,14.77,8.35,1122677.0,770488.0,28002000.0,28002000.0,660418.0,482230.0,1783095.0,1252718.0
2739,2016-04-28,-0.002,0.064,0.19,0.218,0.213,0.023,0.099,0.091,0.088,13.803,13.219,0.044,0.547,0.575,-0.049,4447568.0,4454830.0,302696.0,284402.0,3.0,2.52,1391315.0,1332442.0,100800000.0,100800000.0,1680573.0,1800785.0,3071991.0,3133328.0
6531,2016-05-11,0.07,-0.242,-0.268,0.266,0.446,-0.404,0.227,0.34,-0.332,28.077,43.93,-0.361,0.147,0.239,-0.385,2602510.0,2431973.0,465596.0,614167.0,7.58,10.35,1752164.0,1376783.0,62405300.0,31340400.0,303039.0,431445.0,2055203.0,1808228.0
6523,2016-05-26,0.604,0.781,0.789,0.066,0.039,0.692,0.057,0.035,0.629,36.257,33.899,0.07,0.126,0.099,0.273,234133.0,145995.0,67019.0,37635.0,2.38,1.33,1022232.0,955737.0,28193800.0,28193800.0,147258.0,105168.0,1169490.0,1060905.0
6446,2016-06-29,-0.541,-0.111,-0.114,-0.13,-0.218,0.404,-0.105,-0.144,0.271,6.574,3.624,0.814,0.189,0.337,-0.439,512.0,1116.0,-166985.0,-150304.0,-0.88,-0.79,1283718.0,689561.0,195283200.0,190283200.0,299152.0,351038.0,1582870.0,1040599.0
4552,2016-06-30,0.121,0.244,0.242,0.074,0.064,0.156,0.055,0.048,0.146,38.542,35.883,0.074,0.256,0.257,-0.004,1883873.0,1679813.0,258198.0,207588.0,2.87,2.31,3468797.0,3229454.0,90000000.0,90000000.0,1194941.0,1115752.0,4663738.0,4345206.0
6499,2016-07-06,,-0.992,-0.762,-0.06,-0.028,-1.143,-0.058,-0.027,-1.148,18.641,19.718,-0.055,0.021,0.026,-0.192,,,-49135.0,-24666.0,-1.11,-0.63,821865.0,868662.0,44088300.0,44053300.0,17392.0,23199.0,845057.0,897848.0
8415,2016-08-18,-0.059,0.019,0.0,0.014,0.013,0.077,0.007,0.007,0.0,11.705,12.223,-0.042,0.477,0.471,0.013,2657281.0,2825266.0,96912.0,95127.0,0.16,0.16,7023266.0,7333944.0,600000000.0,600000000.0,6403025.0,6518501.0,13426291.0,13852445.0
6542,2016-08-19,0.928,1.371,1.371,0.062,-0.193,1.321,0.03,-0.09,1.333,20.912,17.97,0.164,0.507,0.532,-0.047,754399.0,391213.0,28994.0,-78171.0,1.12,-3.02,471352.0,405033.0,22540000.0,22540000.0,484571.0,460951.0,955923.0,865984.0
