證券代號,投標開始日,前一日平均成交價,前十日內平均成交價,前十日內漲幅,前一日成交金額,前十日內平均成交金額,前一日最高成交價,前一日最低成交價,前一日成交筆數,前一日成交股數,前十日內平均成交筆數,前十日內平均成交股數
6026,2016-01-07,10.09,10.314,-0.019,926280.0,1085682.0,10.2,9.99,24.0,91786.0,34.0,104929.0
6510,2016-03-04,483.31,490.617,-0.008,18999076.0,56827055.0,489.99,479.0,44.0,39310.0,114.0,115707.0
2739,2016-04-28,58.71,57.934,0.085,5900312.0,7244824.0,59.99,58.0,61.0,100491.0,64.0,121127.0
6531,2016-05-11,104.47,107.236,-0.018,19038905.0,19473430.0,106.0,100.51,100.0,182250.0,103.0,178922.0
6523,2016-05-26,428.05,399.27,0.22,21890941.0,18571072.0,441.04,415.0,72.0,51141.0,50.0,46032.0
6446,2016-06-29,203.51,218.469,-0.072,274122403.0,451946935.0,206.2,198.31,1102.0,1346960.0,1741.0,2078278.0
4552,2016-06-30,,,,,,,,,,,
6499,2016-07-06,203.53,195.783,0.053,115855538.0,63393844.0,209.99,199.5,408.0,569234.0,267.0,318460.0
8415,2016-08-18,18.98,18.993,0.017,2585584.0,1371036.0,19.08,18.6,31.0,136200.0,19.0,72320.0
6542,2016-08-19,131.88,141.68,-0.1,4220280.0,2122818.0,133.5,130.0,22.0,32000.0,11.0,15153.0
8473,2016-08-19,61.26,60.874,0.03,26634540.0,32389004.0,62.5,60.81,262.0,434765.0,249.0,522152.0
6548,2016-08-25,152.51,157.386,-0.007,2757339.0,5510931.0,154.68,151.61,20.0,18080.0,26.0,34704.0
1598,2016-08-30,59.03,57.215,0.089,1917386.0,4277333.0,59.29,58.5,18.0,32484.0,37.0,73653.0
6535,2016-09-05,67.39,68.542,0.016,6516684.0,11370638.0,68.0,66.8,60.0,96700.0,94.0,164802.0
8279,2016-09-05,75.1,75.846,0.015,5565101.0,6056433.0,76.75,74.51,45.0,74101.0,48.0,79105.0
4438,2016-09-27,210.6,202.73,0.054,52291187.0,32274208.0,211.99,209.01,173.0,248298.0,110.0,156895.0
2633,2016-10-06,19.97,19.286,0.117,258008259.0,246519956.0,20.6,19.68,2754.0,12920526.0,2309.0,12428233.0
8466,2016-10-12,,,,,,,,,,,
4943,2016-10-24,69.56,71.722,-0.065,3220530.0,7079314.0,70.0,69.02,29.0,46300.0,53.0,98505.0
6554,2016-11-22,64.72,64.247,0.011,33752680.0,12860394.0,66.0,63.81,111.0,521501.0,62.0,200085.0
8488,2016-11-23,,,,,,,,,,,
3346,2016-11-29,38.83,38.624,0.05,5917293.0,5768193.0,39.33,38.02,66.0,152402.0,74.0,148350.0
6569,2016-12-01,242.65,234.903,0.144,7624152.0,16905783.0,244.0,240.0,38.0,31421.0,77.0,70123.0
6568,2016-12-08,151.19,157.814,-0.055,65415818.0,35578450.0,154.73,147.51,343.0,432664.0,189.0,229254.0
5258,2016-12-12,47.44,48.715,-0.042,3330755.0,4676379.0,47.69,47.26,35.0,70210.0,62.0,96024.0
2939,2017-12-21,223.34,215.617,0.104,26972925.0,22104579.0,225.67,220.66,78.0,120770.0,78.0,101094.0
6616,2017-12-20,,,,,,,,,,,
6596,2017-12-14,75.04,79.514,-0.104,2183519.0,1377829.0,75.5,73.5,17.0,29100.0,12.0,17447.0
4764,2017-12-14,64.63,64.762,-0.004,4601306.0,3888768.0,65.14,64.0,41.0,71200.0,31.0,60127.0
6613,2017-12-08,179.83,185.767,-0.029,8526529.0,13049208.0,181.99,178.5,49.0,47414.0,64.0,70367.0
6570,2017-11-21,36.07,32.366,0.015,1612425.0,815554.0,36.49,34.25,16.0,44700.0,11.0,22600.0
8478,2017-11-21,99.98,99.667,-0.01,2429500.0,3563239.0,101.0,99.0,22.0,24300.0,29.0,35569.0
4155,2017-11-15,33.69,34.859,0.02,8173724.0,7910206.0,34.7,32.31,115.0,242627.0,105.0,224680.0
8499,2017-11-06,,,,,,,,,,,
8342,2017-11-03,49.26,52.835,-0.056,4483059.0,3361188.0,51.03,48.11,54.0,91000.0,34.0,63887.0
6593,2017-10-16,38.86,40.507,-0.012,1488423.0,2742282.0,39.5,38.0,15.0,38298.0,35.0,67560.0
6556,2017-10-11,45.93,50.391,-0.132,1860085.0,1061983.0,47.0,45.0,23.0,40499.0,12.0,21283.0
2243,2017-09-07,,,,,,,,,,,
1268,2017-09-07,184.85,188.149,0.008,3521300.0,14023174.0,186.0,184.0,17.0,19050.0,63.0,74262.0
6441,2017-09-07,76.33,75.687,0.062,5671110.0,4302067.0,78.26,75.01,55.0,74299.0,40.0,56802.0
6573,2017-09-06,,,,,,,,,,,
4741,2017-09-06,81.15,81.748,-0.01,9476788.0,8955361.0,81.99,80.5,70.0,116776.0,67.0,109143.0
6574,2017-08-15,149.0,157.749,-0.077,2854777.0,2171933.0,154.72,145.01,21.0,19160.0,12.0,13996.0
4562,2017-08-01,56.36,54.92,0.041,7957701.0,2948123.0,60.0,54.8,79.0,141203.0,32.0,53378.0
6579,2017-08-01,129.42,117.704,0.184,26615834.0,18898644.0,132.99,127.52,153.0,205648.0,107.0,153641.0
4807,2017-06-06,86.96,85.989,-0.002,2530640.0,2210832.0,87.5,86.2,20.0,29100.0,21.0,25722.0
6582,2017-05-24,91.53,88.994,0.061,4695341.0,4113713.0,92.5,90.0,42.0,51301.0,36.0,45912.0
4148,2017-05-18,,,,,,,,,,,
2937,2017-05-18,33.41,26.746,inf,367590.0,1087205.0,34.0,33.1,11.0,11003.0,17.0,32433.0
6497,2017-05-10,,,,,,,,,,,
2897,2017-04-14,8.95,9.164,0.049,25746443.0,18046761.0,9.38,8.54,572.0,2878126.0,369.0,1971150.0
8489,2017-04-07,164.22,164.987,0.006,4598100.0,8594234.0,166.0,162.0,21.0,28000.0,39.0,52447.0
6438,2017-04-05,56.65,57.657,-0.055,17964634.0,31625834.0,57.18,56.0,171.0,317135.0,303.0,544562.0
6492,2017-03-31,185.36,190.613,-0.046,26786665.0,23420570.0,187.5,183.42,108.0,144510.0,95.0,122812.0
2065,2017-03-30,53.08,55.109,0.052,2883769.0,10973401.0,53.67,52.01,35.0,54330.0,107.0,199665.0
