證券代號,投標開始日,近一月營收,近一月營收年增率,近一月營收月增率,營收增長規律性_R2,營收風險波動率_cv,近五月成長次數比率
6026,2016-01-07,31724.0,-0.661,-0.709,0.0,1.838,0.5
1240,2018-07-19,106431.0,-0.008,0.024,0.717,0.088,0.5
1268,2017-09-07,273071.0,0.135,0.0,0.063,0.047,0.75
1294,2024-09-05,71230.0,0.149,-0.076,0.054,0.048,0.25
1295,2025-05-12,104854.0,0.223,-0.098,0.753,0.211,0.5
1342,2020-11-04,118416.0,0.119,-0.273,0.01,0.12,0.5
1563,2024-04-22,620133.0,0.108,-0.05,0.496,0.049,0.5
1587,2018-03-23,104698.0,-0.153,0.281,0.245,0.119,0.5
1598,2016-08-30,385566.0,0.423,0.23,0.504,0.098,0.5
1623,2026-01-07,613963.0,0.032,0.014,0.939,0.066,1.0
1760,2018-01-03,94734.0,-0.072,-0.4,0.024,0.286,0.5
1796,2018-01-02,30209.0,0.098,0.345,0.107,0.157,0.5
2065,2017-03-30,107756.0,-0.204,0.073,0.541,0.092,0.75
2070,2018-11-27,106325.0,0.656,0.823,0.445,0.259,0.5
2073,2023-06-01,43239.0,-0.179,0.01,0.211,0.204,0.75
2211,2021-03-19,1200293.0,1.026,0.295,0.448,0.125,0.75
2241,2020-08-06,58962.0,-0.219,0.004,0.878,0.112,0.25
2247,2020-09-17,4024185.0,0.634,0.204,0.036,0.106,0.5
2248,2025-02-20,133960.0,0.01,-0.193,0.644,0.151,0.25
2254,2023-10-02,66732.0,4.734,-0.245,0.319,0.548,0.25
2630,2018-01-29,110817.0,-0.677,-0.613,0.049,0.332,0.25
2633,2016-10-06,3200117.0,-0.011,-0.062,0.124,0.023,0.75
2645,2023-02-20,1062607.0,0.315,0.033,0.705,0.031,0.75
2646,2024-10-04,2818695.0,0.616,-0.148,0.1,0.103,0.5
2739,2016-04-28,317850.0,-0.041,-0.135,0.741,0.108,0.5
2743,2020-02-17,302006.0,-0.391,-0.21,0.639,0.179,0.5
2745,2018-03-23,495416.0,0.239,-0.146,0.157,0.209,0.5
2751,2024-08-21,123355.0,0.059,0.011,0.886,0.065,1.0
2752,2019-09-04,130982.0,0.232,0.038,0.95,0.09,1.0
2753,2021-08-20,511187.0,0.158,0.049,0.018,0.05,0.75
2754,2020-08-28,244380.0,0.305,0.092,0.918,0.205,1.0
2755,2020-11-26,129295.0,0.099,-0.033,0.432,0.013,0.5
2756,2021-12-24,71222.0,0.165,0.36,0.128,0.133,0.75
2897,2017-04-14,576023.0,0.065,-0.091,0.357,0.033,0.25
2937,2017-05-18,131649.0,0.243,0.353,0.027,0.219,0.75
2939,2017-12-21,344047.0,-0.12,0.434,0.099,0.136,0.5
2941,2024-02-29,87834.0,0.783,0.419,0.584,0.17,0.5
2945,2021-11-10,1136548.0,0.015,-0.032,0.97,0.064,0.0
2947,2021-09-14,145596.0,0.127,-0.038,0.194,0.046,0.5
2948,2023-11-22,180958.0,0.06,-0.01,0.656,0.051,0.5
2949,2023-11-27,620708.0,0.084,0.71,0.694,0.271,0.75
3135,2025-07-22,646389.0,0.94,0.004,0.415,0.073,0.75
3138,2020-11-23,92945.0,0.382,0.043,0.596,0.081,0.5
3147,2018-05-09,224318.0,0.679,-0.043,0.0,0.24,0.25
3150,2024-06-12,37980.0,0.9,-0.033,0.722,0.208,0.75
3158,2025-10-31,89011.0,0.06,0.042,0.294,0.043,0.5
3168,2024-03-06,272366.0,-0.229,-0.035,0.726,0.043,0.75
3178,2018-10-30,74297.0,-0.162,-0.123,0.786,0.085,0.25
3346,2016-11-29,382516.0,0.404,0.047,0.667,0.239,0.5
3349,2022-03-03,36092.0,-0.309,-0.512,0.597,0.299,0.5
3357,2021-04-07,519345.0,0.33,0.388,0.202,0.119,0.75
3430,2022-08-19,124551.0,0.187,-0.141,0.704,0.072,0.5
3447,2022-11-25,576264.0,0.387,-0.083,0.077,0.04,0.5
3467,2025-03-05,53481.0,0.179,0.062,0.103,0.029,0.75
3530,2018-06-26,150809.0,0.14,-0.053,0.22,0.236,0.25
3543,2020-03-24,248031.0,0.035,0.269,0.349,0.118,0.25
3592,2021-12-17,2351451.0,0.523,0.086,0.043,0.035,0.5
3597,2020-02-17,35045.0,-0.423,-0.264,0.8,0.188,0.25
4155,2017-11-15,87415.0,-0.2,0.079,0.316,0.212,0.5
4166,2025-08-06,109787.0,0.082,0.009,0.599,0.066,0.75
4438,2016-09-27,1875057.0,0.072,0.214,0.796,0.301,0.75
4440,2021-10-04,165227.0,0.459,-0.03,0.477,0.051,0.75
4441,2025-08-25,665511.0,-0.094,-0.14,0.428,0.116,0.75
4442,2023-11-09,74938.0,0.2,-0.423,0.082,0.418,0.5
4538,2018-12-24,56322.0,-0.034,0.054,0.654,0.056,0.5
4540,2018-07-26,334163.0,0.334,0.009,0.862,0.036,1.0
4558,2022-02-24,146517.0,0.152,-0.138,0.785,0.099,0.25
4561,2018-05-22,106235.0,0.39,0.137,0.302,0.181,0.75
4562,2017-08-01,118727.0,0.011,-0.12,0.282,0.088,0.75
4563,2018-06-22,197148.0,-0.005,0.008,0.708,0.183,0.75
4564,2019-02-13,210177.0,0.144,-0.242,0.306,0.089,0.25
4566,2018-01-16,339473.0,0.249,0.227,0.186,0.079,0.5
4568,2018-09-12,92808.0,-0.004,-0.154,0.001,0.092,0.5
4572,2019-08-21,71257.0,-0.181,0.006,0.013,0.066,0.75
4576,2019-08-15,158153.0,-0.447,-0.115,0.871,0.096,0.25
4577,2022-05-24,150072.0,0.347,-0.085,0.174,0.182,0.25
4580,2019-12-16,181152.0,0.126,-0.043,0.043,0.089,0.25
4583,2022-04-18,276056.0,-0.109,-0.19,0.007,0.107,0.25
4584,2022-09-15,92436.0,-0.183,0.292,0.038,0.087,0.25
4585,2025-09-11,177844.0,0.347,0.094,0.485,0.163,0.75
4588,2024-01-09,40368.0,-0.393,-0.49,0.122,0.24,0.5
4741,2017-09-06,70699.0,-0.107,0.077,0.859,0.049,1.0
4744,2018-06-22,101601.0,-0.167,0.376,0.003,0.383,0.75
4749,2024-12-27,324886.0,0.411,0.027,0.659,0.068,0.75
4760,2019-02-27,50479.0,0.002,-0.01,0.319,0.194,0.25
4764,2017-12-14,346826.0,-0.164,-0.013,0.07,0.042,0.5
4766,2018-11-08,1484606.0,0.197,0.133,0.171,0.05,0.5
4767,2018-10-08,86129.0,0.033,-0.024,0.003,0.057,0.5
4768,2022-03-22,72670.0,0.184,0.311,0.065,0.176,0.5
4770,2021-12-02,472238.0,1.078,0.777,0.008,0.267,0.75
4771,2024-02-26,219201.0,0.279,-0.319,0.184,0.131,0.25
4772,2024-08-30,76408.0,0.183,0.143,0.188,0.114,0.75
4807,2017-06-06,147221.0,-0.28,0.173,0.587,0.125,0.25
4923,2022-02-21,105012.0,0.607,0.016,0.842,0.062,1.0
4931,2019-08-27,142399.0,0.245,-0.382,0.224,0.149,0.5
4943,2016-10-24,312548.0,0.39,0.031,0.848,0.215,1.0
4949,2024-04-18,256038.0,-0.498,0.014,0.865,0.194,0.75
4951,2022-10-14,34527.0,-0.26,0.002,0.814,0.166,0.25
4961,2018-09-26,837969.0,0.388,0.04,0.262,0.018,0.25
4967,2018-12-22,577699.0,-0.176,-0.049,0.394,0.058,0.25
4989,2018-06-07,237288.0,-0.203,0.147,0.253,0.234,0.5
5220,2018-04-03,101362.0,-0.119,0.237,0.002,0.135,0.5
5222,2021-10-04,92848.0,0.12,0.77,0.011,0.181,0.25
5223,2018-06-11,106411.0,0.01,-0.22,0.505,0.268,0.5
5228,2022-04-29,57696.0,-0.071,-0.224,0.049,0.181,0.5
5236,2021-07-09,207801.0,0.357,-0.121,0.574,0.11,0.75
5244,2021-12-29,116543.0,-0.045,0.138,0.708,0.105,0.75
5258,2016-12-12,220554.0,0.154,-0.134,0.041,0.209,0.25
5283,2019-05-06,450212.0,0.108,0.009,0.234,0.16,0.75
5292,2023-11-01,295651.0,0.047,0.837,0.609,0.388,0.75
5299,2018-01-03,82055.0,0.457,-0.228,0.392,0.13,0.25
5548,2024-02-26,162763.0,0.274,-0.097,0.175,0.083,0.25
5864,2018-03-14,75380.0,2.248,6.916,0.001,0.582,0.5
5876,2018-09-28,3010105.0,0.096,-0.052,0.374,0.065,0.25
6272,2025-12-05,337285.0,0.079,-0.041,0.318,0.049,0.25
6288,2018-04-18,291370.0,0.588,-0.017,0.478,0.104,0.25
6416,2018-03-23,390327.0,0.147,0.55,0.05,0.206,0.5
6418,2019-01-18,66647.0,-0.179,-0.065,0.288,0.083,0.5
6423,2024-04-29,27790.0,0.551,1.481,0.116,0.596,0.5
6425,2018-12-27,216683.0,-0.005,0.401,0.048,0.199,0.5
6438,2017-04-05,244755.0,0.153,0.336,0.476,0.241,0.75
6441,2017-09-07,254787.0,1.401,2.076,0.761,0.706,1.0
6446,2016-06-29,386.0,-0.905,-0.506,0.391,0.71,0.5
6461,2018-03-08,1246.0,0.633,-0.318,0.002,0.181,0.5
6472,2017-03-28,24836.0,0.097,0.115,0.494,0.087,0.5
6474,2025-11-06,318177.0,-0.015,-0.042,0.0,0.061,0.5
6491,2019-09-17,282396.0,-0.056,0.002,0.481,0.063,0.5
6492,2017-03-31,0.0,10000.0,,0.0,0.0,0.0
6498,2025-05-05,100178.0,0.169,0.156,0.004,0.086,0.5
6499,2016-07-06,0.0,10000.0,,0.0,0.0,0.0
6510,2016-03-04,155920.0,0.568,-0.072,0.385,0.035,0.25
6515,2020-12-30,173428.0,-0.035,-0.169,0.779,0.158,0.25
6516,2019-04-15,21341.0,0.139,-0.432,0.269,0.323,0.25
6517,2022-11-25,57592.0,0.047,-0.053,0.542,0.16,0.5
6523,2016-05-26,75228.0,0.528,-0.204,0.168,0.309,0.25
6526,2023-09-26,1640564.0,0.104,0.398,0.328,0.168,0.75
6527,2019-12-05,61299.0,-0.153,0.063,0.006,0.099,0.75
6531,2016-05-11,180499.0,0.568,-0.075,0.288,0.24,0.25
6533,2017-02-20,22051.0,1.355,-0.202,0.001,0.172,0.5
6534,2023-12-06,52543.0,1.021,1.976,0.007,0.331,0.5
6535,2016-09-05,0.0,10000.0,,0.0,2.0,0.25
6542,2016-08-19,219516.0,0.375,-0.071,0.915,0.062,0.25
6546,2022-05-04,321160.0,0.202,-0.061,0.289,0.111,0.5
6547,2018-03-26,0.0,10000.0,,0.0,0.0,0.0
6548,2016-08-25,44864.0,0.353,0.168,0.726,0.083,1.0
6550,2022-05-16,592.0,-0.8,0.003,0.024,0.808,0.75
6556,2017-10-11,95057.0,-0.213,-0.104,0.71,0.213,0.75
