證券代號,投標開始日,撥券日期(上市、上櫃日期),成交量,成交金額,開盤價,最高價,最低價,收盤價,價差,成交筆數,首日收盤溢價率,首日最高溢價率,首日最低溢價率,最低得標加價率,加權平均加價率
6026,2016-01-07,2016-01-27,2729008,25884784,9.5,9.55,9.3,9.4,-0.1,351,-0.011,0.005,-0.021,0.287,0.287
6510,2016-03-04,2016-03-24,1471264,878440040,590.0,622.0,580.0,615.0,255.0,1212,0.364,0.38,0.287,0.467,0.503
2739,2016-04-28,2016-05-19,2705274,142464500,52.0,53.8,52.0,52.0,0.0,1846,-0.031,0.003,-0.031,0.34,0.383
6531,2016-05-11,2016-05-31,3796149,377727776,99.0,102.0,95.2,95.2,0.0,2117,0.011,0.083,0.011,0.296,0.326
6523,2016-05-26,2016-06-16,1511976,412510568,280.0,280.0,264.0,265.0,77.0,1261,-0.021,0.035,-0.024,0.71,0.799
6446,2016-06-29,2016-07-19,7072701,1411683700,200.0,203.0,195.0,199.5,40.5,4950,0.148,0.168,0.122,0.245,0.312
4552,2016-06-30,2016-07-20,5899032,701284468,117.0,126.5,115.0,122.0,0.0,2935,0.055,0.094,-0.006,0.264,0.446
1240,2018-07-19,2018-08-08,1102200,63541060,59.0,59.9,55.1,55.2,8.0,773,0.028,0.115,0.026,0.349,0.377
1268,2017-09-07,2017-09-27,1341117,235269209,177.5,179.5,168.5,176.0,26.0,989,0.068,0.089,0.023,0.281,0.318
1294,2024-09-05,2024-09-26,836922,108245643,131.0,133.0,125.5,126.5,8.5,768,0.056,0.11,0.048,0.15,0.198
1295,2025-05-12,2025-05-27,1328568,85221936,64.7,66.1,62.0,66.1,9.6,909,0.115,0.115,0.046,0.248,0.281
1341,2018-12-05,2018-12-24,1152000,71829200,58.1,68.0,58.1,64.6,0.0,998,0.758,0.851,0.581,0.422,0.48
1342,2020-11-04,2020-11-24,1930110,122253650,63.0,65.6,61.0,65.6,0.0,1383,-0.002,-0.002,-0.072,0.272,0.314
1563,2024-04-22,2024-05-13,7050997,593852961,83.0,89.0,81.0,86.9,0.0,4873,0.165,0.193,0.086,0.151,0.193
1587,2018-03-23,2018-04-16,3680369,86460520,23.75,24.2,22.6,23.9,0.0,2198,0.168,0.183,0.105,0.29,0.32
1598,2016-08-30,2016-09-20,2779154,134582111,48.9,49.5,47.05,47.15,0.0,1666,-0.038,0.01,-0.04,0.267,0.317
1623,2026-01-07,2026-01-22,2444095,692577292,276.5,296.0,263.0,295.0,0.0,2769,0.282,0.287,0.143,0.493,0.529
1760,2018-01-03,2018-01-23,3698304,224691884,60.5,62.3,58.6,60.5,0.0,2716,0.069,0.101,0.036,0.106,0.251
1796,2018-01-02,2018-01-22,1170050,60867585,54.0,54.0,49.0,51.4,16.6,807,0.123,0.18,0.071,0.5,0.578
2065,2017-03-30,2017-04-21,2010300,76469490,37.9,39.0,36.9,37.6,5.4,1250,-0.176,-0.145,-0.191,0.572,0.629
2070,2018-11-27,2018-12-17,3609759,182059670,46.0,57.0,46.0,57.0,25.15,2255,0.789,0.789,0.443,0.1,0.145
2073,2023-06-01,2023-06-21,1058140,35984745,33.0,35.0,32.65,34.95,12.95,769,0.11,0.112,0.037,0.649,0.674
2211,2021-03-19,2021-04-12,15340609,1095361865,72.0,75.5,65.0,72.5,0.0,8961,0.399,0.457,0.254,0.488,0.542
2241,2020-08-06,2020-08-26,4415024,273253960,59.2,67.0,58.6,64.8,0.0,2997,0.167,0.206,0.055,0.285,0.322
2243,2017-09-07,2017-09-27,2070000,71920950,34.0,35.95,33.8,35.15,0.0,1126,-0.002,0.021,-0.04,0.107,0.174
2247,2020-09-17,2020-10-12,2978312,868076372,300.0,301.5,283.0,285.5,0.0,2605,-0.001,0.055,-0.01,0.611,0.7
2248,2025-02-20,2025-03-13,1365658,84168702,63.0,63.0,60.2,60.4,0.0,1142,-0.006,0.037,-0.009,0.27,0.312
2250,2021-05-11,2021-05-31,3126198,494836203,152.0,171.0,151.0,159.0,0.0,2355,0.513,0.627,0.437,0.483,0.59
2254,2023-10-02,2023-10-20,295000,26056100,87.4,99.0,78.0,78.0,0.0,150,-0.08,0.168,-0.08,0.134,0.308
2630,2018-01-29,2018-02-22,3521752,119654741,33.3,35.5,33.0,33.3,0.0,2090,0.059,0.129,0.05,0.52,0.571
2633,2016-10-06,2016-10-27,79716801,1762148850,20.6,24.8,20.5,24.05,0.0,26176,0.35,0.392,0.151,0.479,0.53
2645,2023-02-20,2023-03-14,8433623,768527459,91.9,94.7,89.5,89.5,0.0,5999,0.079,0.142,0.079,0.406,0.439
2646,2024-10-04,2024-10-25,253282154,7345382637,25.95,32.0,25.65,30.75,0.0,122065,0.321,0.375,0.102,0.244,0.339
2743,2020-02-17,2020-03-09,1338000,17766950,13.05,14.5,12.7,14.05,1.55,804,-0.051,-0.02,-0.142,0.41,0.48
2745,2018-03-23,2018-04-16,1171200,38544650,33.4,33.5,32.55,32.8,6.8,712,0.043,0.065,0.035,0.398,0.428
2751,2024-08-21,2024-09-10,717156,55242386,80.9,80.9,74.2,74.5,3.7,576,0.041,0.13,0.036,0.13,0.193
2752,2019-09-04,2019-09-25,773010,94220750,122.5,124.0,120.0,120.0,15.0,641,0.02,0.054,0.02,0.369,0.401
2753,2021-08-20,2021-09-09,1631483,270903750,162.5,172.0,159.0,167.0,0.0,1932,0.009,0.039,-0.039,0.245,0.271
2754,2020-08-28,2020-09-17,5672327,629966016,112.0,120.5,98.0,108.0,53.0,4321,0.387,0.548,0.259,0.584,0.727
2755,2020-11-26,2020-12-16,581249,39837886,71.0,71.0,66.3,68.8,8.8,475,-0.068,-0.038,-0.102,0.481,0.538
2756,2021-12-24,2022-01-14,524434,66359468,139.0,139.0,118.5,121.5,42.7,435,0.019,0.165,-0.007,0.687,0.741
2762,2024-01-04,2024-01-24,3128690,391216522,130.0,133.0,118.5,119.5,0.0,2660,-0.111,-0.011,-0.119,0.03,0.171
2897,2017-04-14,2017-05-05,28832693,270492745,9.05,9.89,9.05,9.28,0.0,6468,0.139,0.213,0.11,0.341,0.363
2937,2017-05-18,2017-06-08,1194000,35062850,30.2,30.6,28.4,28.4,3.25,701,-0.043,0.031,-0.043,0.326,0.38
2939,2017-12-21,2018-01-11,1593000,340207000,213.5,219.5,206.0,210.0,0.0,1241,0.12,0.17,0.098,0.398,0.443
2941,2024-02-29,2024-03-20,316341,27859655,90.2,92.0,84.0,89.7,11.7,334,-0.044,-0.02,-0.105,0.4,0.444
2945,2021-11-10,2021-11-30,3321604,260173119,77.9,87.6,73.0,84.0,0.0,2584,0.172,0.222,0.018,0.23,0.278
2947,2021-09-14,2021-10-06,652585,72395098,109.5,117.0,104.0,112.5,32.5,542,0.047,0.089,-0.032,0.545,0.611
2948,2023-11-22,2023-12-12,804107,63107416,81.6,81.6,76.1,76.6,4.6,592,-0.03,0.033,-0.036,0.267,0.316
2949,2023-11-27,2023-12-15,1629717,253692570,142.5,165.0,142.0,159.0,69.0,1390,0.255,0.302,0.121,0.503,0.577
3135,2025-07-22,2025-08-06,3116471,100529918,33.35,33.4,31.5,32.35,0.0,2052,0.047,0.081,0.019,0.307,0.346
3138,2020-11-23,2020-12-11,2003575,164478155,81.0,87.0,80.5,87.0,0.0,1608,0.216,0.216,0.125,0.611,0.68
